year,age_group,region,gender,have_tried_marijuana,education_level,income
1995,12-17,East,Male,False,PhD,Low
1995,12-17,East,Male,False,Master,High
1995,12-17,East,Male,True,High School,Low
1995,12-17,East,Male,True,PhD,Medium
1995,12-17,East,Male,False,PhD,High
1995,12-17,East,Male,False,Master,Low
1995,12-17,East,Female,False,PhD,High
1995,12-17,East,Female,False,Bachelor,High
1995,12-17,East,Female,False,High School,Low
1995,12-17,East,Female,True,High School,Low
1995,12-17,East,Female,False,PhD,Low
1995,12-17,East,Female,True,PhD,Low
1995,12-17,East,Female,False,High School,Medium
1995,12-17,East,Female,True,Master,Low
1995,12-17,East,Female,True,Bachelor,Medium
1995,12-17,East,Female,True,Master,Low
1995,12-17,East,Female,False,Master,Low
1995,12-17,East,Female,False,Bachelor,Medium
1995,12-17,East,Female,False,PhD,Medium
1995,12-17,East,Female,False,Bachelor,High
1995,12-17,East,Female,False,High School,Low
1995,12-17,East,Female,True,Master,Low
1995,12-17,East,Female,False,Bachelor,Low
1995,12-17,East,Female,True,Bachelor,High
1995,12-17,East,Female,False,High School,High
1995,12-17,East,Female,True,High School,Medium
1995,12-17,East,Female,False,Master,Low
1995,12-17,East,Female,True,Bachelor,High
1995,12-17,East,Female,False,Master,Low
1995,12-17,East,Female,False,High School,Low
1995,12-17,East,Female,False,Bachelor,Low
1995,12-17,East,Female,True,Master,High
1995,12-17,East,Female,False,High School,Low
1995,12-17,East,Female,False,PhD,High
1995,12-17,East,Female,False,Bachelor,Low
1995,12-17,East,Female,False,High School,High
1995,12-17,East,Female,False,High School,Medium
1995,12-17,East,Female,False,Master,Low
1995,12-17,East,Female,False,Master,Low
1995,12-17,East,Female,False,High School,Low
1995,12-17,East,Female,False,Bachelor,Medium
1995,12-17,East,Female,True,Master,Low
1995,12-17,East,Female,True,High School,Medium
1995,12-17,East,Female,False,High School,Medium
1995,12-17,East,Female,False,High School,High
1995,12-17,East,Female,False,High School,Low
1995,12-17,East,Female,False,PhD,Medium
1995,12-17,East,Female,True,High School,Low
1995,12-17,East,Female,True,PhD,Medium
1995,12-17,East,Female,False,PhD,High
1995,12-17,East,Female,False,PhD,High
1995,12-17,East,Female,False,Bachelor,Medium
1995,12-17,East,Female,True,Bachelor,Medium
1995,12-17,East,Female,False,Bachelor,High
1995,12-17,West,Male,False,High School,Medium
1995,12-17,West,Male,False,Bachelor,Medium
1995,12-17,West,Male,False,High School,Medium
1995,12-17,West,Male,False,Bachelor,Low
1995,12-17,West,Male,False,Master,Low
1995,12-17,West,Male,True,Bachelor,Low
1995,12-17,West,Male,True,Master,Low
1995,12-17,West,Male,False,Bachelor,High
1995,12-17,West,Male,False,PhD,Medium
1995,12-17,West,Male,False,Master,High
1995,12-17,West,Male,True,PhD,Low
1995,12-17,West,Male,True,High School,Medium
1995,12-17,West,Male,True,PhD,Low
1995,12-17,West,Male,False,PhD,Low
1995,12-17,West,Male,False,Master,Low
1995,12-17,West,Male,False,PhD,High
1995,12-17,West,Male,False,Master,High
1995,12-17,West,Male,False,PhD,Medium
1995,12-17,West,Male,False,Bachelor,Medium
1995,12-17,West,Male,False,PhD,High
1995,12-17,West,Male,False,Bachelor,Medium
1995,12-17,West,Male,False,High School,Medium
1995,12-17,West,Male,False,Bachelor,High
1995,12-17,West,Male,False,PhD,High
1995,12-17,West,Male,False,Master,High
1995,12-17,West,Male,True,Master,High
1995,12-17,West,Male,False,Bachelor,High
1995,12-17,West,Male,False,Master,Low
1995,12-17,West,Male,True,Bachelor,Medium
1995,12-17,West,Male,False,Bachelor,High
1995,12-17,West,Male,False,Master,High
1995,12-17,West,Male,False,PhD,Low
1995,12-17,West,Male,False,Master,Low
1995,12-17,West,Male,False,PhD,Medium
1995,12-17,West,Male,True,Master,Low
1995,12-17,West,Male,True,High School,High
1995,12-17,West,Male,True,Bachelor,Medium
1995,12-17,West,Male,True,Bachelor,Low
1995,12-17,West,Male,True,High School,Low
1995,12-17,West,Male,True,PhD,Low
1995,12-17,West,Male,False,PhD,Medium
1995,12-17,West,Male,True,Master,Low
1995,12-17,West,Male,False,High School,Medium
1995,12-17,West,Male,False,Master,High
1995,12-17,West,Male,False,Bachelor,Medium
1995,12-17,West,Male,False,Master,Low
1995,12-17,West,Male,True,PhD,High
1995,12-17,West,Male,True,Bachelor,Low
1995,12-17,West,Male,True,High School,Medium
1995,12-17,West,Male,True,PhD,Medium
1995,12-17,West,Male,True,PhD,Medium
1995,12-17,West,Male,True,Master,High
1995,12-17,West,Male,True,High School,Medium
1995,12-17,West,Male,True,High School,Low
1995,12-17,West,Female,True,Master,Low
1995,12-17,West,Female,True,Bachelor,Medium
1995,12-17,West,Female,False,PhD,Medium
1995,12-17,West,Female,False,High School,High
1995,12-17,West,Female,False,Bachelor,Medium
1995,12-17,West,Female,True,High School,Medium
1995,12-17,West,Female,False,PhD,Low
1995,12-17,West,Female,True,Master,Low
1995,12-17,West,Female,False,High School,Low
1995,12-17,West,Female,True,High School,High
1995,12-17,West,Female,True,Master,Medium
1995,12-17,West,Female,False,Master,High
1995,12-17,West,Female,False,Bachelor,High
1995,12-17,West,Female,False,High School,Low
1995,12-17,West,Female,False,Bachelor,Medium
1995,12-17,West,Female,False,Bachelor,Low
1995,12-17,West,Female,True,PhD,High
1995,12-17,West,Female,False,High School,Medium
1995,12-17,West,Female,False,PhD,High
1995,12-17,West,Female,False,Master,Low
1995,12-17,West,Female,False,PhD,Medium
1995,12-17,West,Female,False,PhD,Low
1995,12-17,West,Female,False,PhD,High
1995,12-17,West,Female,False,High School,Low
1995,12-17,West,Female,False,Bachelor,Medium
1995,12-17,West,Female,True,Master,Low
1995,12-17,West,Female,False,High School,Low
1995,12-17,West,Female,False,Master,High
1995,12-17,West,Female,True,Bachelor,Medium
1995,12-17,West,Female,False,Bachelor,Low
1995,12-17,West,Female,False,High School,Medium
1995,12-17,West,Female,False,High School,Medium
1995,12-17,West,Female,False,PhD,High
1995,12-17,West,Female,True,PhD,Medium
1995,12-17,West,Female,False,PhD,High
1995,12-17,West,Female,False,High School,Medium
1995,12-17,West,Female,False,High School,High
1995,18-25,North,Male,False,Master,High
1995,18-25,North,Male,False,High School,Medium
1995,18-25,North,Male,False,PhD,Medium
1995,18-25,North,Male,False,Bachelor,Medium
1995,18-25,North,Male,True,High School,High
1995,18-25,North,Male,True,Bachelor,Low
1995,18-25,North,Male,False,Bachelor,Medium
1995,18-25,North,Male,False,High School,High
1995,18-25,North,Male,False,Master,Low
1995,18-25,North,Male,False,PhD,High
1995,18-25,North,Male,False,High School,Low
1995,18-25,North,Male,True,High School,High
1995,18-25,North,Male,False,PhD,Low
1995,18-25,North,Male,False,Bachelor,High
1995,18-25,North,Male,False,Master,High
1995,18-25,North,Male,False,Master,Medium
1995,18-25,North,Male,False,Master,High
1995,18-25,North,Male,False,High School,High
1995,18-25,North,Male,False,Bachelor,Medium
1995,18-25,North,Female,False,Master,High
1995,18-25,North,Female,False,PhD,High
1995,18-25,North,Female,False,Master,Medium
1995,18-25,North,Female,False,PhD,Low
1995,18-25,North,Female,True,Master,Medium
1995,18-25,North,Female,False,High School,Low
1995,18-25,North,Female,False,High School,Low
1995,18-25,North,Female,False,Master,High
1995,18-25,North,Female,True,Bachelor,Medium
1995,18-25,North,Female,False,PhD,Medium
1995,18-25,North,Female,False,High School,Low
1995,18-25,North,Female,False,Master,Low
1995,18-25,North,Female,False,PhD,Low
1995,18-25,North,Female,False,High School,Medium
1995,18-25,North,Female,False,Bachelor,High
1995,18-25,North,Female,True,High School,Low
1995,18-25,North,Female,False,Master,Low
1995,18-25,North,Female,False,PhD,Low
1995,18-25,North,Female,False,Bachelor,High
1995,18-25,North,Female,False,Master,High
1995,18-25,North,Female,False,PhD,High
1995,18-25,North,Female,False,Bachelor,Medium
1995,18-25,North,Female,False,High School,Low
1995,18-25,North,Female,True,High School,Low
1995,18-25,North,Female,False,Bachelor,High
1995,18-25,North,Female,False,Bachelor,Low
1995,18-25,North,Female,True,Bachelor,High
1995,18-25,North,Female,False,Master,Medium
1995,18-25,North,Female,False,Bachelor,Medium
1995,18-25,North,Female,False,PhD,Low
1995,18-25,North,Female,False,Bachelor,Medium
1995,18-25,North,Female,False,Bachelor,High
1995,18-25,North,Female,True,Master,Low
1995,18-25,North,Female,False,PhD,Low
1995,18-25,North,Female,False,Master,High
1995,18-25,North,Female,True,Master,Medium
1995,18-25,North,Female,False,Bachelor,High
1995,18-25,North,Female,False,Bachelor,Medium
1995,18-25,North,Female,False,PhD,Low
1995,18-25,North,Female,False,Master,High
1995,18-25,North,Female,False,PhD,Medium
1995,18-25,North,Female,False,Master,Low
1995,18-25,North,Female,False,PhD,Low
1995,18-25,North,Female,False,High School,High
1995,18-25,South,Male,True,Master,Medium
1995,18-25,South,Male,False,Master,Medium
1995,18-25,South,Male,True,PhD,Medium
1995,18-25,South,Male,True,Master,Low
1995,18-25,South,Male,False,Bachelor,Low
1995,18-25,South,Male,True,Bachelor,High
1995,18-25,South,Male,False,Master,Medium
1995,18-25,South,Female,False,Master,High
1995,18-25,South,Female,False,Master,Low
1995,18-25,South,Female,False,High School,Medium
1995,18-25,South,Female,True,PhD,Medium
1995,18-25,South,Female,False,High School,Medium
1995,18-25,South,Female,False,High School,High
1995,18-25,South,Female,False,PhD,Medium
1995,18-25,South,Female,False,Bachelor,Low
1995,18-25,South,Female,False,Bachelor,Medium
1995,18-25,South,Female,False,PhD,High
1995,18-25,South,Female,False,Bachelor,High
1995,18-25,East,Male,False,Master,Low
1995,18-25,East,Male,True,PhD,High
1995,18-25,East,Male,True,Bachelor,Low
1995,18-25,East,Male,False,High School,High
1995,18-25,East,Male,False,PhD,High
1995,18-25,East,Male,True,PhD,Low
1995,18-25,East,Male,True,Master,High
1995,18-25,East,Male,False,PhD,High
1995,18-25,East,Male,False,Bachelor,Medium
1995,18-25,East,Male,False,Master,High
1995,18-25,East,Male,True,PhD,Medium
1995,18-25,East,Male,True,Bachelor,Low
1995,18-25,East,Male,True,PhD,Low
1995,18-25,East,Male,False,Bachelor,High
1995,18-25,East,Male,True,PhD,High
1995,18-25,East,Male,False,Master,High
1995,18-25,East,Male,True,High School,Medium
1995,18-25,East,Male,False,Master,Low
1995,18-25,East,Male,False,Master,Medium
1995,18-25,East,Male,False,High School,Medium
1995,18-25,East,Male,True,Bachelor,Low
1995,18-25,East,Male,True,High School,Low
1995,18-25,East,Male,True,PhD,Low
1995,18-25,East,Male,False,High School,Low
1995,18-25,East,Male,False,High School,High
1995,18-25,East,Male,False,PhD,Medium
1995,18-25,East,Male,False,High School,High
1995,18-25,East,Male,False,Master,High
1995,18-25,East,Male,True,Bachelor,Low
1995,18-25,East,Male,False,PhD,High
1995,18-25,East,Male,False,Bachelor,Medium
1995,18-25,East,Male,False,Bachelor,High
1995,18-25,East,Male,False,High School,High
1995,18-25,East,Male,True,Master,Low
1995,18-25,East,Male,True,High School,Low
1995,18-25,East,Male,False,Bachelor,Low
1995,18-25,East,Female,False,PhD,Low
1995,18-25,East,Female,True,PhD,High
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,False,Bachelor,Low
1995,18-25,East,Female,False,Master,High
1995,18-25,East,Female,False,PhD,Low
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,False,High School,High
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,False,PhD,Medium
1995,18-25,East,Female,False,Bachelor,Medium
1995,18-25,East,Female,False,Bachelor,Low
1995,18-25,East,Female,True,High School,Low
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,True,Master,Low
1995,18-25,East,Female,False,Master,Low
1995,18-25,East,Female,False,High School,High
1995,18-25,East,Female,False,Bachelor,Low
1995,18-25,East,Female,False,High School,Low
1995,18-25,East,Female,False,Master,Medium
1995,18-25,East,Female,True,Master,High
1995,18-25,East,Female,False,Bachelor,High
1995,18-25,East,Female,True,Bachelor,Low
1995,18-25,East,Female,True,Bachelor,Low
1995,18-25,East,Female,False,Master,High
1995,18-25,East,Female,False,PhD,Low
1995,18-25,East,Female,False,Master,Medium
1995,18-25,East,Female,True,High School,High
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,False,Bachelor,High
1995,18-25,East,Female,False,Bachelor,Low
1995,18-25,East,Female,False,Bachelor,Low
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,False,Master,Medium
1995,18-25,East,Female,False,High School,Low
1995,18-25,East,Female,False,Bachelor,High
1995,18-25,East,Female,False,Master,Low
1995,18-25,East,Female,False,High School,High
1995,18-25,East,Female,False,PhD,Medium
1995,18-25,East,Female,False,High School,Low
1995,18-25,East,Female,False,Master,Medium
1995,18-25,East,Female,False,Master,Medium
1995,18-25,East,Female,False,Bachelor,Medium
1995,18-25,East,Female,False,High School,High
1995,18-25,East,Female,False,PhD,High
1995,18-25,East,Female,False,Bachelor,Low
1995,18-25,East,Female,False,PhD,Low
1995,18-25,East,Female,False,Master,Low
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,False,High School,Medium
1995,18-25,East,Female,True,Master,Low
1995,18-25,East,Female,True,PhD,High
1995,18-25,East,Female,False,Master,Low
1995,18-25,East,Female,False,High School,High
1995,18-25,East,Female,True,High School,Medium
1995,18-25,East,Female,True,PhD,Medium
1995,18-25,East,Female,True,High School,High
1995,18-25,East,Female,True,PhD,Low
1995,18-25,East,Female,True,High School,High
1995,18-25,West,Male,False,PhD,Medium
1995,18-25,West,Male,False,Bachelor,Low
1995,18-25,West,Male,True,High School,High
1995,18-25,West,Male,False,Bachelor,Low
1995,18-25,West,Male,False,Bachelor,High
1995,18-25,West,Male,True,High School,Low
1995,18-25,West,Male,True,High School,High
1995,18-25,West,Male,False,Bachelor,Low
1995,18-25,West,Male,True,Master,Medium
1995,18-25,West,Male,False,Master,Medium
1995,18-25,West,Male,False,Master,Medium
1995,18-25,West,Male,False,High School,Medium
1995,18-25,West,Male,False,Master,High
1995,18-25,West,Male,False,Bachelor,Low
1995,18-25,West,Male,False,High School,Medium
1995,18-25,West,Male,False,PhD,Medium
1995,18-25,West,Male,False,PhD,High
1995,18-25,West,Male,True,PhD,Low
1995,18-25,West,Male,False,PhD,Medium
1995,18-25,West,Male,False,High School,Medium
1995,18-25,West,Male,False,Bachelor,Low
1995,18-25,West,Male,False,Bachelor,Medium
1995,18-25,West,Male,False,PhD,High
1995,18-25,West,Male,False,Bachelor,Medium
1995,18-25,West,Male,False,Bachelor,High
1995,18-25,West,Male,False,High School,High
1995,18-25,West,Male,False,Master,Low
1995,18-25,West,Male,False,PhD,High
1995,18-25,West,Male,False,High School,High
1995,18-25,West,Male,True,High School,Medium
1995,18-25,West,Male,False,Master,High
1995,18-25,West,Male,False,PhD,High
1995,18-25,West,Male,True,Master,Medium
1995,18-25,West,Male,False,Master,Medium
1995,18-25,West,Male,True,Bachelor,Medium
1995,18-25,West,Male,False,Bachelor,Low
1995,18-25,West,Male,False,PhD,Low
1995,18-25,West,Male,True,Master,Low
1995,18-25,West,Female,True,High School,High
1995,18-25,West,Female,False,Bachelor,Medium
1995,18-25,West,Female,False,High School,Low
1995,18-25,West,Female,True,Bachelor,High
1995,18-25,West,Female,True,PhD,Low
1995,18-25,West,Female,False,High School,Low
1995,18-25,West,Female,False,Bachelor,Medium
1995,18-25,West,Female,True,PhD,Medium
1995,18-25,West,Female,False,Bachelor,High
1995,18-25,West,Female,True,Master,Medium
1995,18-25,West,Female,False,PhD,High
1995,18-25,West,Female,False,High School,Low
1995,18-25,West,Female,False,High School,Medium
1995,18-25,West,Female,False,High School,High
1995,18-25,West,Female,False,Bachelor,High
1995,18-25,West,Female,True,PhD,Low
1995,18-25,West,Female,False,High School,Low
1995,18-25,West,Female,False,Bachelor,High
1995,18-25,West,Female,False,PhD,Medium
1995,18-25,West,Female,True,Bachelor,Low
1995,18-25,West,Female,True,Bachelor,Medium
1995,18-25,West,Female,True,PhD,Low
1995,18-25,West,Female,False,Bachelor,Low
1995,18-25,West,Female,False,High School,Low
1995,18-25,West,Female,False,High School,Medium
1995,18-25,West,Female,False,High School,Low
1995,18-25,West,Female,False,PhD,Medium
1995,18-25,West,Female,True,Bachelor,High
1995,18-25,West,Female,False,Bachelor,Medium
1995,18-25,West,Female,False,Master,Medium
1995,18-25,West,Female,False,Bachelor,Medium
1995,18-25,West,Female,False,Bachelor,High
1995,18-25,West,Female,False,Bachelor,Medium
1995,18-25,West,Female,False,Master,Low
1995,18-25,West,Female,True,PhD,High
1995,18-25,West,Female,True,High School,High
1995,18-25,West,Female,False,Master,Medium
1995,18-25,West,Female,False,High School,Medium
1995,18-25,West,Female,False,High School,High
1995,18-25,West,Female,False,Master,Low
1995,18-25,West,Female,True,Bachelor,Medium
1995,18-25,West,Female,True,PhD,Medium
1995,18-25,West,Female,False,PhD,Medium
1995,18-25,West,Female,False,Master,High
1995,18-25,West,Female,True,Master,High
1995,26-34,North,Male,False,PhD,Low
1995,26-34,North,Male,False,Master,Low
1995,26-34,North,Male,False,Master,High
1995,26-34,North,Male,False,PhD,Medium
1995,26-34,North,Male,False,Bachelor,Medium
1995,26-34,North,Male,False,Master,Medium
1995,26-34,North,Male,False,High School,Low
1995,26-34,North,Male,True,Master,High
1995,26-34,North,Male,True,PhD,Medium
1995,26-34,North,Male,True,Master,High
1995,26-34,North,Male,True,High School,Low
1995,26-34,North,Male,False,Bachelor,High
1995,26-34,North,Male,True,Master,Low
1995,26-34,North,Male,False,Master,Low
1995,26-34,North,Male,False,Bachelor,Low
1995,26-34,North,Female,False,PhD,Medium
1995,26-34,North,Female,False,Master,Medium
1995,26-34,North,Female,False,High School,High
1995,26-34,North,Female,False,High School,Low
1995,26-34,North,Female,False,PhD,Medium
1995,26-34,North,Female,False,Master,Low
1995,26-34,North,Female,False,High School,High
1995,26-34,North,Female,False,High School,Low
1995,26-34,North,Female,False,Master,High
1995,26-34,North,Female,True,Master,High
1995,26-34,North,Female,False,Bachelor,High
1995,26-34,North,Female,False,Bachelor,Medium
1995,26-34,North,Female,False,PhD,Medium
1995,26-34,North,Female,False,High School,Medium
1995,26-34,North,Female,False,PhD,Medium
1995,26-34,North,Female,False,High School,Low
1995,26-34,North,Female,True,High School,High
1995,26-34,North,Female,False,PhD,Low
1995,26-34,North,Female,False,High School,Medium
1995,26-34,North,Female,False,PhD,Low
1995,26-34,North,Female,False,Master,Low
1995,26-34,North,Female,True,Master,Low
1995,26-34,North,Female,False,PhD,Low
1995,26-34,North,Female,False,High School,Low
1995,26-34,North,Female,False,PhD,High
1995,26-34,North,Female,False,Master,Medium
1995,26-34,North,Female,False,PhD,High
1995,26-34,North,Female,False,High School,Medium
1995,26-34,North,Female,False,Bachelor,Medium
1995,26-34,North,Female,True,High School,High
1995,26-34,North,Female,False,High School,Medium
1995,26-34,North,Female,True,High School,Low
1995,26-34,North,Female,False,Master,High
1995,26-34,North,Female,False,Bachelor,Low
1995,26-34,North,Female,False,High School,High
1995,26-34,South,Male,True,Master,High
1995,26-34,South,Male,False,PhD,High
1995,26-34,South,Male,False,Master,Medium
1995,26-34,South,Male,False,Master,Medium
1995,26-34,South,Male,False,PhD,High
1995,26-34,South,Male,False,PhD,Medium
1995,26-34,South,Male,True,High School,Medium
1995,26-34,South,Male,False,Bachelor,High
1995,26-34,South,Male,False,PhD,Medium
1995,26-34,South,Female,True,High School,Low
1995,26-34,South,Female,False,High School,Low
